OBJECTID,LOCNUM,SALESVOL,SHAPE
821,939850442,23801,"{""y"": 30.84320000000002, ""x"": -83.31629999999996}"
822,398388538,33889,"{""y"": 28.820800000000123, ""x"": -81.66779999999994}"
823,396148785,33889,"{""y"": 28.93620000000012, ""x"": -81.93989999999994}"
824,491015624,1355,"{""y"": 29.173900000000057, ""x"": -82.15719999999999}"
825,660671777,22593,"{""y"": 28.66320000000013, ""x"": -81.41789999999996}"
826,419304142,27111,"{""y"": 28.67130000000005, ""x"": -81.3384}"
827,979587300,28919,"{""y"": 28.75470000000018, ""x"": -81.34829999999995}"
828,366774115,33889,"{""y"": 28.8006000000001, ""x"": -81.3337}"
829,637377805,33889,"{""y"": 28.595300000000044, ""x"": -81.28779999999995}"
830,694722281,33889,"{""y"": 28.657600000000112, ""x"": -81.23549999999993}"
831,396146656,2711,"{""y"": 28.91630000000007, ""x"": -81.2929999999999}"
832,242911154,6777,"{""y"": 29.109700000000043, ""x"": -81.02819999999996}"
833,694519794,2259,"{""y"": 29.47570000000012, ""x"": -81.21689999999992}"
834,466710670,22593,"{""y"": 29.18290000000011, ""x"": -81.07879999999994}"
835,637353657,1807,"{""y"": 30.199100000000097, ""x"": -81.82519999999992}"
836,211324249,677,"{""y"": 30.104300000000016, ""x"": -81.70729999999996}"
837,372384693,56482,"{""y"": 30.23550000000006, ""x"": -81.69469999999997}"
838,575127493,15815,"{""y"": 30.18830000000005, ""x"": -81.6296}"
839,401823882,33889,"{""y"": 30.192800000000034, ""x"": -81.55049999999993}"
840,372384586,451,"{""y"": 30.26030000000007, ""x"": -81.52499999999996}"
841,453433286,39312,"{""y"": 30.329000000000125, ""x"": -81.54819999999995}"
842,617324850,1581,"{""y"": 30.629800000000024, ""x"": -81.5533}"
843,381623354,22593,"{""y"": 29.875700000000084, ""x"": -81.32230000000001}"
844,645219544,45186,"{""y"": 30.285200000000053, ""x"": -81.45669999999993}"
845,934207226,40667,"{""y"": 30.25390000000008, ""x"": -81.39019999999991}"
846,598143451,28129,"{""y"": 32.61660000000006, ""x"": -83.68469999999996}"
847,201267887,38948,"{""y"": 32.817400000000106, ""x"": -83.71529999999993}"
848,653506386,32457,"{""y"": 31.2019000000001, ""x"": -81.48109999999994}"
849,637379470,2163,"{""y"": 31.984200000000026, ""x"": -81.17499999999991}"
850,653372078,32457,"{""y"": 32.04050000000014, ""x"": -81.06819999999999}"
851,355609124,30768,"{""y"": 32.25620000000006, ""x"": -80.84979999999992}"
852,689441129,16805,"{""y"": 33.33430000000006, ""x"": -86.98999999999995}"
853,666371596,31510,"{""y"": 33.22520000000003, ""x"": -86.80299999999994}"
854,715098166,21007,"{""y"": 33.35970000000011, ""x"": -86.85199999999999}"
855,427922056,31510,"{""y"": 33.468100000000035, ""x"": -86.77519999999997}"
856,582884367,42014,"{""y"": 33.42830000000006, ""x"": -86.70819999999999}"
857,653371716,31510,"{""y"": 33.60710000000003, ""x"": -86.80689999999997}"
858,243183803,84028,"{""y"": 33.600800000000056, ""x"": -86.64019999999992}"
859,594304313,189063,"{""y"": 34.560400000000065, ""x"": -86.97089999999994}"
860,421072952,31510,"{""y"": 34.749200000000094, ""x"": -86.75629999999992}"
861,243183787,2520,"{""y"": 34.743900000000124, ""x"": -86.68209999999995}"
862,257784710,42014,"{""y"": 34.6747, ""x"": -86.54389999999991}"
863,604646570,21007,"{""y"": 33.609200000000094, ""x"": -85.78279999999992}"
864,968015867,21638,"{""y"": 33.55920000000009, ""x"": -85.07329999999997}"
865,547974774,32457,"{""y"": 33.395900000000125, ""x"": -84.76009999999998}"
866,637379371,1298,"{""y"": 33.441100000000105, ""x"": -84.58999999999997}"
867,906907050,37866,"{""y"": 33.48160000000012, ""x"": -84.43879999999996}"
868,439295226,32457,"{""y"": 33.5186000000001, ""x"": -84.3543999999999}"
869,243186657,1731,"{""y"": 33.46760000000013, ""x"": -84.21689999999997}"
870,715921433,32457,"{""y"": 33.72620000000006, ""x"": -84.73499999999999}"
871,675380208,32457,"{""y"": 33.886100000000056, ""x"": -84.74449999999996}"
872,715921425,32457,"{""y"": 33.853200000000136, ""x"": -84.604}"
873,933767006,19474,"{""y"": 34.1725000000001, ""x"": -84.78589999999997}"
874,512346131,16228,"{""y"": 33.944700000000076, ""x"": -84.626}"
875,632955126,43276,"{""y"": 34.03620000000011, ""x"": -84.68460000000002}"
876,637379058,32457,"{""y"": 34.00750000000003, ""x"": -84.57199999999993}"
877,396148488,32457,"{""y"": 34.08310000000012, ""x"": -84.54409999999993}"
878,241130129,29644,"{""y"": 33.657900000000076, ""x"": -84.50199999999994}"
879,366760064,32457,"{""y"": 33.75840000000007, ""x"": -84.34679999999997}"
880,827861568,34621,"{""y"": 33.89780000000015, ""x"": -84.47939999999996}"
881,653372128,32457,"{""y"": 33.79170000000004, ""x"": -84.40099999999994}"
882,661896266,32457,"{""y"": 33.82420000000007, ""x"": -84.36719999999998}"
883,527780563,54095,"{""y"": 33.8518000000001, ""x"": -84.36029999999992}"
884,401400510,43276,"{""y"": 33.827000000000126, ""x"": -84.32689999999994}"
885,000386011,32457,"{""y"": 33.906900000000114, ""x"": -84.37870000000001}"
886,214473464,38299,"{""y"": 33.8467000000001, ""x"": -84.24530000000001}"
887,653372052,32457,"{""y"": 33.98440000000007, ""x"": -84.42729999999995}"
888,401433412,30293,"{""y"": 34.03640000000008, ""x"": -84.46149999999994}"
889,225245901,32457,"{""y"": 33.93050000000007, ""x"": -84.34159999999996}"
890,541656914,54095,"{""y"": 34.06390000000009, ""x"": -84.39759999999993}"
891,000057919,21854,"{""y"": 33.94910000000002, ""x"": -84.23209999999995}"
892,402845750,6491,"{""y"": 34.00070000000013, ""x"": -84.28529999999998}"
893,909564965,32457,"{""y"": 34.04650000000004, ""x"": -84.28659999999996}"
894,898185590,22720,"{""y"": 34.01460000000004, ""x"": -84.18819999999994}"
895,672448909,32457,"{""y"": 34.100899999999996, ""x"": -84.2705999999999}"
896,609034475,2163,"{""y"": 34.09410000000007, ""x"": -84.17399999999995}"
897,667112957,54095,"{""y"": 34.18610000000008, ""x"": -84.13429999999991}"
898,576899835,31741,"{""y"": 35.024600000000085, ""x"": -85.15569999999994}"
899,614790616,31741,"{""y"": 35.14590000000003, ""x"": -85.25169999999994}"
900,402379782,43276,"{""y"": 34.23750000000015, ""x"": -84.45849999999992}"
901,667508998,31741,"{""y"": 35.21710000000017, ""x"": -84.86629999999997}"
902,667509061,31741,"{""y"": 35.74180000000011, ""x"": -86.93759999999993}"
903,366746576,25393,"{""y"": 35.89250000000011, ""x"": -86.88029999999998}"
904,449727890,44438,"{""y"": 35.96560000000009, ""x"": -86.81269999999995}"
905,366725448,42322,"{""y"": 36.042500000000146, ""x"": -86.7786}"
906,627016991,31741,"{""y"": 36.13450000000007, ""x"": -86.89199999999997}"
907,008817025,46554,"{""y"": 36.12760000000008, ""x"": -86.85109999999999}"
908,134458942,21584,"{""y"": 36.30200000000008, ""x"": -86.69299999999998}"
909,657103784,31741,"{""y"": 35.9777, ""x"": -86.57019999999991}"
910,989064274,33858,"{""y"": 35.844100000000026, ""x"": -86.42589999999991}"
911,965147713,25393,"{""y"": 36.18280000000007, ""x"": -86.63769999999991}"
912,396817884,31741,"{""y"": 36.1665000000001, ""x"": -86.51369999999999}"
